ID_OREGANO	LIBELLE
GENE:6180	FBR-MuSV-associated ubiquitously expressed (fox derived) pseudogene 1
GENE:6181	failed axon connections homolog, metaxin like GST domain containing
GENE:6182	fatty acid hydroxylase domain containing 2
GENE:6183	Fas binding factor 1
GENE:6184	F-box DNA helicase 1
GENE:6185	fibrillarin
GENE:6186	filamin binding LIM protein 1
GENE:6187	fibrillarin like 1
GENE:6188	fibulin 1
GENE:6189	fibulin 2
GENE:6190	fibulin 5
GENE:6191	fibulin 7
GENE:6192	fibrillin 1
GENE:6193	fibrillin 2
GENE:6194	fibrillin 3
GENE:6195	fructose-bisphosphatase 1
GENE:6196	fructose-bisphosphatase 2
GENE:6197	fibrosin
GENE:6198	fibrosin like 1
GENE:6199	F-box and leucine rich repeat protein 12
GENE:6200	F-box and leucine rich repeat protein 13
GENE:6201	F-box and leucine rich repeat protein 14
GENE:6202	F-box and leucine rich repeat protein 15
GENE:6203	F-box and leucine rich repeat protein 16
GENE:6204	F-box and leucine rich repeat protein 17
GENE:6205	F-box and leucine rich repeat protein 18
GENE:6206	F-box and leucine rich repeat protein 19
GENE:6207	FBXL19 antisense RNA 1 (head to head)
GENE:6208	F-box and leucine rich repeat protein 2
GENE:6209	F-box and leucine rich repeat protein 20
GENE:6210	F-box and leucine rich repeat protein 21 (gene/pseudogene)
GENE:6211	F-box and leucine rich repeat protein 22
GENE:6212	F-box and leucine rich repeat protein 3
GENE:6213	F-box and leucine rich repeat protein 4
GENE:6214	F-box and leucine rich repeat protein 5
GENE:6215	F-box and leucine rich repeat protein 6
GENE:6216	F-box and leucine rich repeat protein 7
GENE:6217	F-box and leucine rich repeat protein 8
GENE:6218	F-box protein 10
GENE:6219	F-box protein 11
GENE:6220	F-box protein 15
GENE:6221	F-box protein 16
GENE:6222	F-box protein 17
GENE:6223	F-box protein 2
GENE:6224	F-box protein 21
GENE:6225	F-box protein 22
GENE:6226	F-box protein 24
GENE:6227	F-box protein 25
GENE:6228	F-box protein 27
GENE:6229	F-box protein 28
GENE:6230	F-box protein 3
GENE:6231	F-box protein 30
GENE:6232	F-box protein 31
GENE:6233	F-box protein 32
GENE:6234	F-box protein 33
GENE:6235	F-box protein 34
GENE:6236	F-box protein 36
GENE:6237	F-box protein 38
GENE:6238	F-box protein 39
GENE:6239	F-box protein 4
GENE:6240	F-box protein 40
GENE:6241	F-box protein 41
GENE:6242	F-box protein 42
GENE:6243	F-box protein 43
GENE:6244	F-box protein 44
GENE:6245	F-box protein 45
GENE:6246	F-box protein 46
GENE:6247	F-box protein 47
GENE:6248	F-box protein 48
GENE:6249	F-box protein 5
GENE:6250	F-box protein 6
GENE:6251	F-box protein 7
GENE:6252	F-box protein 8
GENE:6253	F-box protein 9
GENE:6254	F-box and WD repeat domain containing 10
GENE:6255	F-box and WD repeat domain containing 11
GENE:6256	F-box and WD repeat domain containing 11 pseudogene 1
GENE:6257	F-box and WD repeat domain containing 12
GENE:6258	F-box and WD repeat domain containing 2
GENE:6259	F-box and WD repeat domain containing 4
GENE:6260	F-box and WD repeat domain containing 4 pseudogene 1
GENE:6261	F-box and WD repeat domain containing 5
GENE:6262	F-box and WD repeat domain containing 7
GENE:6263	F-box and WD repeat domain containing 8
GENE:6264	F-box and WD repeat domain containing 9
GENE:6265	Fc fragment of IgA and IgM receptor
GENE:6266	Fc fragment of IgA receptor
GENE:6267	Fc fragment of IgE receptor Ia
GENE:6268	Fc fragment of IgE receptor Ig
GENE:6269	Fc fragment of IgE receptor II
GENE:6270	FCF1 rRNA-processing protein
GENE:6271	Fc fragment of IgG binding protein
GENE:6272	Fc fragment of IgG receptor Ia
GENE:6273	Fc fragment of IgG receptor IIa
GENE:6274	Fc fragment of IgG receptor IIb
GENE:6275	Fc fragment of IgG receptor IIc (gene/pseudogene)
GENE:6276	Fc fragment of IgG receptor IIIa
GENE:6277	Fc fragment of IgG receptor IIIb
GENE:6278	Fc fragment of IgG receptor and transporter
GENE:6279	FCH domain only 1
GENE:6280	FCH domain only 2
GENE:6281	FCH and double SH3 domains 1
GENE:6282	FCH and double SH3 domains 2
GENE:6283	Fc fragment of IgM receptor
GENE:6284	ficolin 1
GENE:6285	ficolin 2
GENE:6286	ficolin 3
GENE:6287	Fc receptor like 1
GENE:6288	Fc receptor like 2
GENE:6289	Fc receptor like 3
GENE:6290	Fc receptor like 4
GENE:6291	Fc receptor like 5
GENE:6292	Fc receptor like 6
GENE:6293	Fc receptor like A
GENE:6294	Fc receptor like B
GENE:6295	fucose kinase
GENE:6296	follicular dendritic cell secreted protein
GENE:6297	farnesyl-diphosphate farnesyltransferase 1
GENE:6298	farnesyl diphosphate synthase
GENE:6299	farnesyl diphosphate synthase pseudogene 1
GENE:6300	farnesyl diphosphate synthase pseudogene 2
GENE:6301	farnesyl diphosphate synthase pseudogene 3
GENE:6302	farnesyl diphosphate synthase pseudogene 4
GENE:6303	farnesyl diphosphate synthase pseudogene 5
GENE:6304	farnesyl diphosphate synthase pseudogene 6
GENE:6305	ferredoxin 1
GENE:6306	ferredoxin 1 pseudogene 1
GENE:6307	ferredoxin 1 pseudogene 2
GENE:6308	ferredoxin 2
GENE:6309	ferredoxin-fold anticodon binding domain containing 1
GENE:6310	ferredoxin reductase
GENE:6311	ferrochelatase
GENE:6312	ferrochelatase pseudogene 1
GENE:6313	fem-1 homolog A
GENE:6314	fem-1 homolog a (C. elegans) pseudogene 1
GENE:6315	fem-1 homolog B
GENE:6316	fem-1 homolog C
GENE:6317	flap structure-specific endonuclease 1
GENE:6318	flap structure-specific endonuclease 1 pseudogene 1
GENE:6319	FER tyrosine kinase
GENE:6320	fer-1-like 4 (C. elegans) pseudogene
GENE:6321	fer-1 like family member 5
GENE:6322	fer-1 like family member 6
GENE:6323	FER1L6 antisense RNA 1
GENE:6324	FER1L6 antisense RNA 2
GENE:6325	Fer3 like bHLH transcription factor
GENE:6326	fermitin family member 1
GENE:6327	fermitin family member 2
GENE:6328	fermitin family member 3
GENE:6329	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94) pseudogene 1
GENE:6330	FES proto-oncogene, tyrosine kinase
GENE:6331	fetuin B
GENE:6332	FEV transcription factor, ETS family member
GENE:6333	fasciculation and elongation protein zeta 1
GENE:6334	fasciculation and elongation protein zeta 2
GENE:6335	FEZ family zinc finger 1
GENE:6336	FEZ family zinc finger 2
GENE:6337	free fatty acid receptor 1
GENE:6338	free fatty acid receptor 2
GENE:6339	free fatty acid receptor 3
GENE:6340	free fatty acid receptor 4
GENE:6341	fibrinogen alpha chain
GENE:6342	fibrinogen beta chain
GENE:6343	FYVE, RhoGEF and PH domain containing 1
GENE:6344	FYVE, RhoGEF and PH domain containing 2
GENE:6345	FYVE, RhoGEF and PH domain containing 3
GENE:6346	FYVE, RhoGEF and PH domain containing 4
GENE:6347	FYVE, RhoGEF and PH domain containing 5
GENE:6348	FYVE, RhoGEF and PH domain containing 6
GENE:6349	fibroblast growth factor 1
GENE:6350	fibroblast growth factor 10
GENE:6351	fibroblast growth factor 11
GENE:6352	fibroblast growth factor 12
GENE:6353	fibroblast growth factor 13
GENE:6354	fibroblast growth factor 14
GENE:6355	fibroblast growth factor 16
GENE:6356	fibroblast growth factor 17
GENE:6357	fibroblast growth factor 18
GENE:6358	fibroblast growth factor 19
GENE:6359	fibroblast growth factor 2
GENE:6360	fibroblast growth factor 20
GENE:6361	fibroblast growth factor 21
GENE:6362	fibroblast growth factor 22
GENE:6363	fibroblast growth factor 23
GENE:6364	fibroblast growth factor 3
GENE:6365	fibroblast growth factor 4
GENE:6366	fibroblast growth factor 5
GENE:6367	fibroblast growth factor 6
GENE:6368	fibroblast growth factor 7
GENE:6369	fibroblast growth factor 7 pseudogene 1
GENE:6370	fibroblast growth factor 7 pseudogene 2
GENE:6371	fibroblast growth factor 8
GENE:6372	fibroblast growth factor 9
GENE:6373	fibroblast growth factor binding protein 1
GENE:6374	fibroblast growth factor binding protein 2
GENE:6375	fibroblast growth factor binding protein 3
GENE:6376	fibroblast growth factor receptor 1
GENE:6377	FGFR1 oncogene partner
GENE:6378	FGFR1 oncogene partner 2
GENE:6379	fibroblast growth factor receptor 2
GENE:6380	fibroblast growth factor receptor 3
GENE:6381	fibroblast growth factor receptor 3 pseudogene 1
GENE:6382	fibroblast growth factor receptor 4
GENE:6383	fibroblast growth factor receptor like 1
GENE:6384	fibrinogen gamma chain
GENE:6385	FGGY carbohydrate kinase domain containing
GENE:6386	fibrinogen like 1
GENE:6387	fibrinogen like 2
GENE:6388	FGR proto-oncogene, Src family tyrosine kinase
GENE:6389	fumarate hydratase
GENE:6390	forkhead associated phosphopeptide binding domain 1
GENE:6391	FH2 domain containing 1
GENE:6392	fragile histidine triad diadenosine triphosphatase
GENE:6393	four and a half LIM domains 1
GENE:6394	four and a half LIM domains 2
GENE:6395	four and a half LIM domains 3
GENE:6396	four and a half LIM domains 5
GENE:6397	formin homology 2 domain containing 1
GENE:6398	formin homology 2 domain containing 3
GENE:6399	fibrinogen C domain containing 1
GENE:6400	fin bud initiation factor homolog
GENE:6401	FGF1 intracellular binding protein
GENE:6402	FIC domain containing
GENE:6403	FIG4 phosphoinositide 5-phosphatase
GENE:6404	folliculogenesis specific bHLH transcription factor
GENE:6405	fidgetin, microtubule severing factor
GENE:6406	fidgetin like 1
GENE:6407	fidgetin like 2
GENE:6408	filamin A interacting protein 1
GENE:6409	filamin A interacting protein 1 like
GENE:6410	factor interacting with PAPOLA and CPSF1
GENE:6411	fission, mitochondrial 1
GENE:6412	fat storage inducing transmembrane protein 1
GENE:6413	fat storage inducing transmembrane protein 2
GENE:6414	FLT3 interacting zinc finger 1
GENE:6415	four-jointed box kinase 1
GENE:6416	FKBP prolyl isomerase 10
GENE:6417	FKBP prolyl isomerase 11
GENE:6418	FKBP prolyl isomerase 14
GENE:6419	FKBP prolyl isomerase 15
GENE:6420	FKBP prolyl isomerase 1A
GENE:6421	FK506 binding protein 1A, 12kDa pseudogene 1
GENE:6422	FK506 binding protein 1A, 12kDa pseudogene 2
GENE:6423	FK506 binding protein 1A, 12kDa pseudogene 3
GENE:6424	FK506 binding protein 1A, 12kDa pseudogene 4
GENE:6425	FKBP prolyl isomerase 1B
GENE:6426	FK506 binding protein 1C
GENE:6427	FKBP prolyl isomerase 2
GENE:6428	FKBP prolyl isomerase 3
GENE:6429	FKBP prolyl isomerase 4
GENE:6430	FKBP prolyl isomerase 5
GENE:6431	FKBP prolyl isomerase 6
GENE:6432	FKBP prolyl isomerase 7
GENE:6433	FKBP prolyl isomerase 8
GENE:6434	FKBP prolyl isomerase 9
GENE:6435	FKBP prolyl isomerase like
GENE:6436	fukutin related protein
GENE:6437	fukutin
GENE:6438	flagellum associated containing coiled-coil domains 1
GENE:6439	flavin adenine dinucleotide synthetase 1
GENE:6440	folliculin
GENE:6441	filaggrin
GENE:6442	filaggrin family member 2
GENE:6443	Fli-1 proto-oncogene, ETS transcription factor
GENE:6444	FLII actin remodeling protein
GENE:6445	hypothetical protein FLJ13197 (non-HGNC gene)
GENE:6446	filamin A
GENE:6447	filamin B
GENE:6448	filamin C
GENE:6449	flotillin 1
GENE:6450	flotillin 2
GENE:6451	fibronectin leucine rich transmembrane protein 1
GENE:6452	fibronectin leucine rich transmembrane protein 2
GENE:6453	fibronectin leucine rich transmembrane protein 3
GENE:6454	fms related tyrosine kinase 1
GENE:6455	fms related tyrosine kinase 3
GENE:6456	fms related tyrosine kinase 3 ligand
GENE:6457	fms related tyrosine kinase 4
GENE:6458	feline leukemia virus subgroup C cellular receptor 1
GENE:6459	feline leukemia virus subgroup C cellular receptor family member 2
GENE:6460	FLYWCH-type zinc finger 1
GENE:6461	FLYWCH family member 2
GENE:6462	formation of mitochondrial complex V assembly factor 1 homolog
GENE:6463	formin 1
GENE:6464	formin 2
GENE:6465	formin like 1
GENE:6466	formin like 2
GENE:6467	formin like 3
GENE:6468	flavin containing dimethylaniline monoxygenase 1
GENE:6469	flavin containing monooxygenase 11, pseudogene
GENE:6470	flavin containing dimethylaniline monoxygenase 2
GENE:6471	flavin containing dimethylaniline monoxygenase 3
GENE:6472	flavin containing dimethylaniline monoxygenase 4
GENE:6473	flavin containing dimethylaniline monoxygenase 5
GENE:6474	flavin containing monooxygenase 6 pseudogene
GENE:6475	flavin containing monooxygenase 7 pseudogene
GENE:6476	flavin containing monooxygenase 9 pseudogene
GENE:6477	fibromodulin
GENE:6478	fragile X mental retardation 1
GENE:6479	FMR1 neighbor
GENE:6480	fibronectin 1
GENE:6481	fructosamine 3 kinase
GENE:6482	fructosamine 3 kinase related protein
GENE:6483	formin binding protein 1
GENE:6484	formin binding protein 1 like
GENE:6485	formin binding protein 4
GENE:6486	fibronectin type III domain containing 1
GENE:6487	fibronectin type III domain containing 10
GENE:6488	fibronectin type III domain containing 11
GENE:6489	fibronectin type III domain containing 3A
GENE:6490	fibronectin type III domain containing 3B
GENE:6491	fibronectin type III domain containing 3C, pseudogene
GENE:6492	fibronectin type III domain containing 4
GENE:6493	fibronectin type III domain containing 5
GENE:6494	fibronectin type III domain containing 7
GENE:6495	fibronectin type III domain containing 8
GENE:6496	fibronectin type III domain containing 9
GENE:6497	folliculin interacting protein 1
GENE:6498	folliculin interacting protein 2
GENE:6499	farnesyltransferase, CAAX box, alpha
GENE:6500	farnesyltransferase, CAAX box, alpha pseudogene 1
GENE:6501	farnesyltransferase, CAAX box, alpha pseudogene 2
GENE:6502	farnesyltransferase, CAAX box, beta
GENE:6503	focadhesin
GENE:6504	folate hydrolase 1
GENE:6505	folate hydrolase 1B
GENE:6506	folate receptor 1
GENE:6507	folate receptor 1 (adult) pseudogene 1
GENE:6508	folate receptor beta
GENE:6509	folate receptor 3
GENE:6510	Fos proto-oncogene, AP-1 transcription factor subunit
GENE:6511	FosB proto-oncogene, AP-1 transcription factor subunit
GENE:6512	FOS like 1, AP-1 transcription factor subunit
GENE:6513	FOS like 2, AP-1 transcription factor subunit
GENE:6514	forkhead box A1
GENE:6515	forkhead box A2
GENE:6516	forkhead box A3
GENE:6517	forkhead box B1
GENE:6518	forkhead box B2
GENE:6519	forkhead box C1
GENE:6520	forkhead box C2
GENE:6521	forkhead box D1
GENE:6522	forkhead box D2
GENE:6523	forkhead box D3
GENE:6524	forkhead box D4
GENE:6525	forkhead box D4 like 1
GENE:6526	forkhead box D4 like 3
GENE:6527	forkhead box D4 like 4
GENE:6528	forkhead box D4 like 5
GENE:6529	forkhead box D4 like 6
GENE:6530	forkhead box E1
GENE:6531	forkhead box E3
GENE:6532	forkhead box F1
GENE:6533	forkhead box F2
GENE:6534	forkhead box G1
GENE:6535	forkhead box H1
GENE:6536	forkhead box I1
GENE:6537	forkhead box I2
GENE:6538	forkhead box I3
GENE:6539	forkhead box J1
GENE:6540	forkhead box J2
GENE:6541	forkhead box J3
GENE:6542	forkhead box K1
GENE:6543	forkhead box K2
GENE:6544	forkhead box L1
GENE:6545	forkhead box L2
GENE:6546	FOXL2 neighbor
GENE:6547	forkhead box M1
GENE:6548	forkhead box N1
GENE:6549	forkhead box N2
GENE:6550	forkhead box N3
GENE:6551	forkhead box N4
GENE:6552	forkhead box O1
GENE:6553	forkhead box O1B pseudogene
GENE:6554	forkhead box O3
GENE:6555	forkhead box O3B
GENE:6556	forkhead box O4
GENE:6557	forkhead box O6
GENE:6558	forkhead box P1
GENE:6559	forkhead box P2
GENE:6560	forkhead box P3
GENE:6561	forkhead box P4
GENE:6562	forkhead box Q1
GENE:6563	forkhead box R1
GENE:6564	forkhead box R2
GENE:6565	FAD dependent oxidoreductase domain containing 1
GENE:6566	FAD dependent oxidoreductase domain containing 2
GENE:6567	forkhead box S1
GENE:6568	folylpolyglutamate synthase
GENE:6569	fucose-1-phosphate guanylyltransferase
GENE:6570	formyl peptide receptor 1
GENE:6571	formyl peptide receptor 2
GENE:6572	formyl peptide receptor 3
GENE:6573	fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2)
GENE:6574	FRA10A associated CGG repeat 1
GENE:6575	fragile site, BrdU type, rare, fra(10)(q25.2)
GENE:6576	fragile site, BrdU type, common, fra(10)(q21)
GENE:6577	fragile site, aphidicolin type, common, fra(10)(q22.1)
GENE:6578	fragile site, aphidicolin type, common, fra(10)(q25.2)
GENE:6579	fragile site, aphidicolin type, common, fra(10)(q26.1)
GENE:6580	fragile site, aphidicolin type, common, fra(10)(q11.2)
GENE:6581	fragile site, folic acid type, rare, fra(11)(q13.3)
GENE:6582	fragile site, aphidicolin type, common, fra(11)(p15.1)
GENE:6583	fragile site, aphidicolin type, common, fra(11)(p14.2)
GENE:6584	fragile site, aphidicolin type, common, fra(11)(p13)
GENE:6585	fragile site, aphidicolin type, common, fra(11)(q14.2)
GENE:6586	fragile site, aphidicolin type, common, fra(11)(q23.3)
GENE:6587	fragile site, aphidicolin type, common, fra(11)(q13)
GENE:6588	fragile site, distamycin A type, rare, fra(11)(p15.1)
GENE:6589	fragile site, folic acid type, rare, fra(12)(q13.1)
GENE:6590	fragile site, aphidicolin type, common, fra(12)(q21.3)
GENE:6591	fragile site, BrdU type, rare, fra(12)(q24.2)
GENE:6592	fragile site, folic acid type, rare, fra(12)(q24.13)
GENE:6593	fragile site, aphidicolin type, common, fra(12)(q24)
GENE:6594	fragile site, aphidicolin type, common, fra(13)(q13.2)
GENE:6595	fragile site, BrdU type, common, fra(13)(q21)
GENE:6596	fragile site, aphidicolin type, common, fra(13)(q21.2)
GENE:6597	fragile site, aphidicolin type, common, fra(13)(q32)
GENE:6598	fragile site, aphidicolin type, common, fra(14)(q23)
GENE:6599	fragile site, aphidicolin type, common, fra(14)(q24.1)
GENE:6600	fragile site, aphidicolin type, common, fra(15)(q22)
GENE:6601	fragile site, folic acid type, rare, fra(16)(p13.11)
GENE:6602	fragile site, distamycin A type, rare, fra(16)(q22.1)
GENE:6603	fragile site, aphidicolin type, common, fra(16)(q22.1)
GENE:6604	fragile site, aphidicolin type, common, fra(16)(q23.2)
GENE:6605	fragile site, distamycin A type, rare, fra(16)(p12.1)
GENE:6606	fragile site, distamycin A type, rare, fra(17)(p12)
GENE:6607	fragile site, aphidicolin type, common, fra(17)(q23.1)
GENE:6608	fragile site, aphidicolin type, common, fra(18)(q12.2)
GENE:6609	fragile site, aphidicolin type, common, fra(18)(q21.3)
GENE:6610	fragile site, aphidicolin type, common, fra(18)(q22.2)
GENE:6611	fragile site, 5-azacytidine type, common, fra(19)(q13)
GENE:6612	fragile site, folic acid type, rare, fra(19)(p13)
GENE:6613	fragile site, aphidicolin type, common, fra(1)(p36)
GENE:6614	fragile site, aphidicolin type, common, fra(1)(p32)
GENE:6615	fragile site, aphidicolin type, common, fra(1)(p31.2)
GENE:6616	fragile site, aphidicolin type, common, fra(1)(p22)
GENE:6617	fragile site, aphidicolin type, common, fra(1)(p21.2)
GENE:6618	fragile site, aphidicolin type, common, fra(1)(q21)
GENE:6619	fragile site, aphidicolin type, common, fra(1)(q25.1)
GENE:6620	fragile site, 5-azacytidine type, common, fra(1)(q42)
GENE:6621	fragile site, aphidicolin type, common, fra(1)(q44)
GENE:6622	fragile site, 5-azacytidine type, common, fra(1)(q12)
GENE:6623	fragile site, aphidicolin type, common, fra(1)(q31)
GENE:6624	fragile site, aphidicolin type, common, fra(1)(p31)
GENE:6625	fragile site, folic acid type, rare, fra(1)(p21.3)
GENE:6626	fragile site, folic acid type, rare, fra(20)(p11.23)
GENE:6627	fragile site, aphidicolin type, common, fra(20)(p12.2)
GENE:6628	fragile site, folic acid type, rare, fra(22)(q13)
GENE:6629	fragile site, aphidicolin type, common, fra(22)(q12.2)
GENE:6630	fragile site, folic acid type, rare, fra(2)(q11.2)
GENE:6631	fragile site, folic acid type, rare, fra(2)(q13)
GENE:6632	fragile site, aphidicolin type, common, fra(2)(p24.2)
GENE:6633	fragile site, aphidicolin type, common, fra(2)(p16.2)
GENE:6634	fragile site, aphidicolin type, common, fra(2)(p13)
GENE:6635	fragile site, aphidicolin type, common, fra(2)(q21.3)
GENE:6636	fragile site, aphidicolin type, common, fra(2)(q31)
GENE:6637	fragile site, aphidicolin type, common, fra(2)(q32.1)
GENE:6638	fragile site, aphidicolin type, common, fra(2)(q33)
GENE:6639	fragile site, aphidicolin type, common, fra(2)(q37.3)
GENE:6640	fragile site, folic acid type, rare, fra(2)(q22.3)
GENE:6641	fragile site, aphidicolin type, common, fra(3)(p24.2)
GENE:6642	fragile site, aphidicolin type, common, fra(3)(q27)
GENE:6643	fragile site, aphidicolin type, common, fra(3)(q25)
GENE:6644	fragile site, aphidicolin type, common, fra(4)(p16.1)
GENE:6645	fragile site, BrdU type, common, fra(4)(q12)
GENE:6646	fragile site, aphidicolin type, common, fra(4)(q31.1)
GENE:6647	fragile site, aphidicolin type, common, fra(4)(p15)
GENE:6648	fragile site, BrdU type, common, fra(5)(p13)
GENE:6649	fragile site, BrdU type, common, fra(5)(q15)
GENE:6650	fragile site, aphidicolin type, common, fra(5)(q31.1)
GENE:6651	fragile site, aphidicolin type, common, fra(5)(q15)
GENE:6652	fragile site, aphidicolin type, common, fra(5)(p14)
GENE:6653	fragile site, aphidicolin type, common, fra(5)(q21)
GENE:6654	fragile site, folic acid type, rare, fra(5)(q35)
GENE:6655	fragile site, folic acid type, rare, fra(6)(p23)
GENE:6656	fragile site, aphidicolin type, common, fra(6)(p25.1)
GENE:6657	fragile site, aphidicolin type, common, fra(6)(p22.2)
GENE:6658	fragile site, BrdU type, common, fra(6)(q13)
GENE:6659	fragile site, aphidicolin type, common, fra(6)(q26)
GENE:6660	fragile site, aphidicolin type, common, fra(6)(q21)
GENE:6661	fragile site, aphidicolin type, common, fra(6)(q15)
GENE:6662	fragile site, folic acid type, rare, fra(7)(p11.2)
GENE:6663	fragile site, aphidicolin type, common, fra(7)(p22)
GENE:6664	fragile site, aphidicolin type, common, fra(7)(p14.2)
GENE:6665	fragile site, aphidicolin type, common, fra(7)(p13)
GENE:6666	fragile site, aphidicolin type, common, fra(7)(q21.2)
GENE:6667	fragile site, aphidicolin type, common, fra(7)(q22)
GENE:6668	fragile site, aphidicolin type, common, fra(7)(q31.2)
GENE:6669	fragile site, aphidicolin type, common, fra(7)(q32.3)
GENE:6670	fragile site, aphidicolin type, common, fra(7)(q36)
GENE:6671	fragile site, aphidicolin type, common, fra(7)(q11)
GENE:6672	fragile site, folic acid type, rare, fra(8)(q22.3)
GENE:6673	fragile site, aphidicolin type, common, fra(8)(q22.1)
GENE:6674	fragile site, aphidicolin type, common, fra(8)(q24.1)
GENE:6675	fragile site, aphidicolin type, common, fra(8)(q24.3)
GENE:6676	fragile site, distamycin A type, rare, fra(8)(q24.1)
GENE:6677	fragile site, folic acid type, rare, fra(9)(p21)
GENE:6678	fragile site, folic acid type, rare, fra(9)(q32)
GENE:6679	fragile site, BrdU type, common, fra(9)(p21)
GENE:6680	fragile site, aphidicolin type, common, fra(9)(q22.1)
GENE:6681	fragile site, aphidicolin type, common, fra(9)(q32)
GENE:6682	fragile site, 5-azacytidine type, common, fra(9)(q12)
GENE:6683	Fraser extracellular matrix complex subunit 1
GENE:6684	FRAT regulator of WNT signaling pathway 1
GENE:6685	FRAT regulator of WNT signaling pathway 2
GENE:6686	fragile site, folic acid type, rare, fra(X)(q27.3) A (macroorchidism, mental retardation)
GENE:6687	fragile site, aphidicolin type, common, fra(X)(p22.31) B
GENE:6688	fragile site, aphidicolin type, common, fra(X)(q22.1) C
GENE:6689	fragile site, aphidicolin type, common, fra(X)(q27.2) D
GENE:6690	fragile site, folic acid type, rare, fra(X)(q28) E
GENE:6691	FRAS1 related extracellular matrix 1
GENE:6692	FRAS1 related extracellular matrix 2
GENE:6693	FRAS1 related extracellular matrix 3
GENE:6694	FSHD region gene 1
GENE:6695	FSHD region gene 2
GENE:6696	FSHD region gene 2 family member B
GENE:6697	FSHD region gene 2 family member C
GENE:6698	fyn related Src family tyrosine kinase
GENE:6699	FERM domain containing 1
GENE:6700	FERM domain containing 3
GENE:6701	FERM domain containing 4A
GENE:6702	FERM domain containing 4B
GENE:6703	FERM domain containing 5
GENE:6704	FERM domain containing 6
GENE:6705	FRMD6 antisense RNA 1
GENE:6706	FERM domain containing 7
GENE:6707	FERM domain containing 8
GENE:6708	FERM and PDZ domain containing 1
GENE:6709	FERM and PDZ domain containing 2
GENE:6710	FERM and PDZ domain containing 3
GENE:6711	FERM and PDZ domain containing 4
GENE:6712	ferric chelate reductase 1
GENE:6713	ferric chelate reductase 1 like
GENE:6714	fibroblast growth factor receptor substrate 2
GENE:6715	fibroblast growth factor receptor substrate 3
GENE:6716	FRY microtubule binding protein
GENE:6717	FRY like transcription coactivator
GENE:6718	frizzled related protein
GENE:6719	fibrinogen silencer binding protein
GENE:6720	fibrous sheath CABYR binding protein
GENE:6721	fascin actin-bundling protein 1
GENE:6722	fascin actin-bundling protein 2, retinal
GENE:6723	fascin actin-bundling protein 3
GENE:6724	fibronectin type III and SPRY domain containing 1
GENE:6725	fibronectin type III and SPRY domain containing 1 like
GENE:6726	fibronectin type III and SPRY domain containing 2
GENE:6727	follicle stimulating hormone subunit beta
GENE:6728	follicle stimulating hormone receptor
GENE:6729	fibrous sheath interacting protein 1
GENE:6730	fibrous sheath interacting protein 2
GENE:6731	follistatin
GENE:6732	follistatin like 1
GENE:6733	follistatin like 3
GENE:6734	follistatin like 4
GENE:6735	follistatin like 5
GENE:6736	formimidoyltransferase cyclodeaminase
GENE:6737	formiminotransferase cyclodeaminase N-terminal like
GENE:6738	ferritin heavy chain 1
GENE:6739	ferritin, heavy polypeptide 1 pseudogene
GENE:6740	ferritin, heavy polypeptide 1 pseudogene 10
GENE:6741	ferritin, heavy polypeptide 1 pseudogene 11
GENE:6742	ferritin, heavy polypeptide 1 pseudogene 12
GENE:6743	ferritin, heavy polypeptide 1 pseudogene 13
GENE:6744	ferritin, heavy polypeptide 1 pseudogene 15
GENE:6745	ferritin, heavy polypeptide 1 pseudogene 16
GENE:6746	ferritin, heavy polypeptide 1 pseudogene 19
GENE:6747	ferritin, heavy polypeptide 1 pseudogene 2
GENE:6748	ferritin, heavy polypeptide 1 pseudogene 21
GENE:6749	ferritin, heavy polypeptide 1 pseudogene 3
GENE:6750	ferritin, heavy polypeptide 1 pseudogene 4
GENE:6751	ferritin, heavy polypeptide 1 pseudogene 5
GENE:6752	ferritin, heavy polypeptide 1 pseudogene 7
GENE:6753	ferritin, heavy polypeptide 1 pseudogene 8
GENE:6754	ferritin heavy chain like 17
GENE:6755	ferritin light chain
GENE:6756	ferritin, light polypeptide pseudogene 1
GENE:6757	ferritin, light polypeptide pseudogene 19
GENE:6758	ferritin, light polypeptide pseudogene 3
GENE:6759	ferritin mitochondrial
GENE:6760	FTO alpha-ketoglutarate dependent dioxygenase
GENE:6761	FtsJ RNA 2'-O-methyltransferase 1
GENE:6762	FtsJ RNA 2'-O-methyltransferase 3
GENE:6763	FTX transcript, XIST regulator (non-protein coding)
GENE:6764	far upstream element binding protein 1
GENE:6765	far upstream element binding protein 3
GENE:6766	fucosidase, alpha-L- 1, tissue
GENE:6767	fucosidase, alpha-L- 1, tissue pseudogene 1
GENE:6768	fucosidase, alpha-L- 2, plasma
GENE:6769	FUN14 domain containing 1
GENE:6770	FUN14 domain containing 2
GENE:6771	fucose mutarotase
GENE:6772	furin, paired basic amino acid cleaving enzyme
GENE:6773	FUS RNA binding protein
GENE:6774	fucosyltransferase 1 (H blood group)
GENE:6775	fucosyltransferase 10
GENE:6776	fucosyltransferase 11
GENE:6777	fucosyltransferase 2
GENE:6778	fucosyltransferase 3 (Lewis blood group)
GENE:6779	fucosyltransferase 4
GENE:6780	fucosyltransferase 5
GENE:6781	fucosyltransferase 6
GENE:6782	fucosyltransferase 7
GENE:6783	fucosyltransferase 8
